capability,status,existing_component,existing_file,output_format,output_location,runs_automatically,has_tests,gap
Automatic observation recording — selection,IMPLEMENTED,mop_rc001_observer.py,opportunity_engine/mop_rc001_observer.py,JSONL,data/mop_rc001/MOP_RC001_YYYY-MM-DD.json,Yes (per signal via EquityScannerAI.scan),Yes (test_mop_rc001.py T001-T015),Outcome fields not auto-populated (selected/actual_return_pct require post-hoc backfill)
Automatic observation recording — shadow candidates,IMPLEMENTED,final_trading_architecture_shadow_001.py,scripts/final_trading_architecture_shadow_001.py,JSONL,data/logs/final_trading_architecture_shadow_001.jsonl,Yes (per live shadow run),Yes (test_final_trading_architecture_shadow_001.py 77 tests),knowledge_strategy_disagreement missing from pre-2026-08-18 records; new records will include it
Automatic observation recording — missed movers,RESEARCH_ONLY,daily_selection_quality_audit_001.py,scripts/daily_selection_quality_audit_001.py,CSV,data/audit/daily_selection_quality_missed_movers.csv,No (manual audit run),Yes (test_daily_selection_quality_audit_001.py T051-T055),No live/daily process classifies missed movers from shadow JSONL
Automatic observation recording — false rejections,RESEARCH_ONLY,knowledge_vs_strategy_003.py; rejection_tracker.py,scripts/knowledge_vs_strategy_003.py; analysis/rejection_tracker.py,CSV; DB,reports/mover_discovery_v3/knowledge_vs_strategy_incremental_value_003_rejection_audit.csv; data/rejection_audit.db,No (manual research script),Implicit in analysis/,No automated false-rejection detection in live trading path
Automatic observation recording — strategy overrides/rejections,IMPLEMENTED,final_trading_architecture_shadow_001.py,scripts/final_trading_architecture_shadow_001.py,JSONL,data/logs/final_trading_architecture_shadow_001.jsonl,Yes (strategy_status / strategy_reason recorded per candidate),Yes,Shadow records exist; nothing reads them back to update strategy weights
Automatic observation recording — risk rejections,PARTIAL,scan_attrition JSONL,data/logs/scan_attrition_*.jsonl,JSONL,data/logs/,Yes (rejection_reason field present),No,Not linked to outcome; no taxonomy matching rejection_classifier.py
Automatic observation recording — discovery failures,RESEARCH_ONLY,mover_discovery_v3_shadow_runner.py; V3 shadow CSV,opportunity_engine/mover_discovery_v3_shadow_runner.py,JSONL; CSV,data/mover_discovery_v3_shadow.jsonl,Yes (V3 shadow writes per scan),No dedicated tests,No live daily record of which movers V3 failed to discover
Automatic observation recording — adverse opening gaps,IMPLEMENTED,post_open_gap_analysis.csv; final_c2_selector.py,reports/mover_discovery_v3/post_open_gap_analysis.csv,CSV,reports/mover_discovery_v3/,Research-batch (historical),Yes (test_final_knowledge_led_c2_001.py),Live gap classification not written per trading day
Failure reason taxonomy — selection/ranking,IMPLEMENTED,daily_selection_quality_audit_001.py miss_reason field,scripts/daily_selection_quality_audit_001.py,CSV,data/audit/daily_selection_quality_missed_movers.csv,No (batch),Yes (T051-T055),Research artifact only; no live taxonomy
Failure reason taxonomy — rejection,IMPLEMENTED,rejection_classifier.py; rejection_tracker.py,analysis/rejection_classifier.py; analysis/rejection_tracker.py,DB; JSONL,data/rejection_audit.db; data/logs/scan_attrition_*.jsonl,Partial (scan_attrition live; classifier research-only),No dedicated test file,Classifier not wired to live rejection decision path
Failure reason taxonomy — strategy,IMPLEMENTED,knowledge_vs_strategy_003.py rejection_audit CSV,scripts/knowledge_vs_strategy_003.py,CSV,reports/mover_discovery_v3/knowledge_vs_strategy_incremental_value_003_rejection_audit.csv,No (manual research script),Implicit,OOS period only (2026-05-14 to 2026-07-30); no live daily recording
Persistent evidence record — discovery + pool + C2 + outcome,IMPLEMENTED,final_trading_architecture_shadow_001.py SHADOW_CANDIDATE,scripts/final_trading_architecture_shadow_001.py,JSONL,data/logs/final_trading_architecture_shadow_001.jsonl,Yes (per shadow run),Yes,Missing: strategy_risk_status; execution_status; per-record outcome backfill via automated process
Persistent evidence record — full OIOS signal lifecycle,IMPLEMENTED,signal_births table; decision_log table; opportunities table,oios/engine/signal_outcome_tracker.py; data/study002_replay.db,SQLite,data/study002_replay.db,Yes (OIOS Phase C/D nightly),Yes (test_outcome_tracking_001.py A-T),decision_log has 0 rows in replay DB (not populated in current configuration)
Persistent evidence record — single unified record per market event,MISSING,n/a,n/a,n/a,n/a,No,No,No single row linking discovery_status + pool + C2 + strategy + risk + execution + outcome for live trading runs
Pattern detection — repeated failure patterns,PARTIAL,pattern_miner.py; daily_selection_quality_audit_001.py phase8,analysis/pattern_miner.py; scripts/daily_selection_quality_audit_001.py,CSV; JSON,data/audit/daily_selection_quality_results.json,No (batch research),Yes (T041-T050 rank decay),Patterns identified in reports; no automatic threshold adjustment
Pattern detection — cross-audit accumulation,MISSING,n/a,n/a,n/a,n/a,No,No,Each audit produces isolated files; no unified pattern store grows over time
Hypothesis generation — manual,IMPLEMENTED,hypothesis_registry.py,autonomous_research/hypothesis_registry.py,JSON,data/ars_hypothesis_registry.json,No (human-initiated),No dedicated test file,16 hypotheses stored; generation is researcher-triggered
Hypothesis generation — automatic from patterns,MISSING,n/a,n/a,n/a,n/a,No,No,No code reads pattern_miner.py output and creates hypothesis entries
Hypothesis storage with IDs,IMPLEMENTED,hypothesis_registry.py + hypothesis_models.py,autonomous_research/hypothesis_registry.py; autonomous_research/hypothesis_models.py,JSON,data/ars_hypothesis_registry.json,n/a (storage always available),No dedicated test file,16 hypotheses with full lifecycle tracking
Hypothesis testing — train/val/OOS,IMPLEMENTED,knowledge_vs_strategy_002.py; knowledge_vs_strategy_003.py,scripts/knowledge_vs_strategy_002.py; scripts/knowledge_vs_strategy_003.py,CSV; JSON; MD,reports/mover_discovery_v3/,No (manual run),Yes (test_knowledge_vs_strategy_002.py),Splits frozen: TRAIN 107d / VAL 53d / OOS 54d
Hypothesis testing — leakage check,IMPLEMENTED,daily_selection_quality_audit_001.py phase9,scripts/daily_selection_quality_audit_001.py,JSON,data/audit/daily_selection_quality_results.json,No (batch audit),Yes (T061-T065),PASS confirmed: C2 vs gap max diff = 0.0
Hypothesis testing — robustness / regime breakdown,IMPLEMENTED,daily_selection_quality_audit_001.py phase7,scripts/daily_selection_quality_audit_001.py,JSON,data/audit/daily_selection_quality_results.json,No (batch audit),Yes (T060),RANGE regime well-sampled; BULL n=5 insufficient
Hypothesis testing — shadow validation stage,RESEARCH_ONLY,final_trading_architecture_shadow_001.py,scripts/final_trading_architecture_shadow_001.py,JSONL; CSV,data/logs/; reports/mover_discovery_v3/,Yes (JSONL grows with each run),Yes (77 tests),Only 21 live trading days shadowed; no automated decision on results
Authentication gate — for V3/C2 changes,MISSING,n/a,n/a,n/a,n/a,No,No,V3Config.enabled is a boolean flag; no approval workflow enforced in code
Authentication gate — for strategy promotion,PARTIAL,validation_engine; strategy_health_monitor.py,validation_engine/; trade_monitoring/strategy_health_monitor.py,In-process,In-process check,Yes (validation runs before promotion),Yes (implicit in strategy evolution tests),Gates are config constants (PROMOTION_WINRATE etc.); no human-approval requirement
Promotion control — strategy,IMPLEMENTED,validation_engine; strategy_health_monitor.py,validation_engine/; trade_monitoring/strategy_health_monitor.py,In-process,In-process,Yes,Yes,Works for strategy DNA; does NOT cover V3 / C2 / selection thresholds
Promotion control — V3/C2/selection,MISSING,n/a,FINAL_ARCHITECTURE_PROMOTION_POLICY_001.md is text-only,Text policy,reports/mover_discovery_v3/FINAL_ARCHITECTURE_PROMOTION_POLICY_001.md,No,No,Policy document defines rules; no code enforces them
Shadow feedback loop — shadow writes,IMPLEMENTED,final_trading_architecture_shadow_001.py,scripts/final_trading_architecture_shadow_001.py,JSONL,data/logs/final_trading_architecture_shadow_001.jsonl,Yes,Yes,Only the write side exists
Shadow feedback loop — shadow reads back to update research,MISSING,n/a,n/a,n/a,n/a,No,No,No process reads shadow JSONL and feeds findings into hypothesis registry or thresholds
Persistent knowledge accumulation — hypothesis registry,IMPLEMENTED,hypothesis_registry.py,autonomous_research/hypothesis_registry.py,JSON,data/ars_hypothesis_registry.json,Yes (append-only),No dedicated tests,16 entries; grows with each new hypothesis
Persistent knowledge accumulation — strategy DNA,IMPLEMENTED,strategy_lab/evolved_strategies/,strategy_lab/evolved_strategies/,JSON,data/ (evolved_strategies.json),Yes (promotion adds entries),Yes (implied by strategy evolution tests),Only strategy DNA; no C2/V3 knowledge
Persistent knowledge accumulation — cross-audit evidence digest,MISSING,n/a,n/a,n/a,n/a,No,No,45 per-audit files; no unified growing evidence ledger
Counterfactual analysis,IMPLEMENTED,counterfactual_engine.py; decision_log table,oios/engine/counterfactual_engine.py; data/study002_replay.db,SQLite,data/study002_replay.db.decision_log,No (0 rows in current DB),Yes (implicit),decision_log is empty in current replay DB; engine exists but not populating
