research_id,component,question,result,oos_dir_acc,oos_ge2,oos_n,lift_vs_random,vs_baseline_delta_dir,vs_baseline_delta_ge2,timing,evidence_quality,relevant_to_20to5,direction,note
V3_RETRO_001,V3_20UP_pool,Does V3 pool contain UP movers?,"YES — ge2 lift=1.41×, ge3 lift=1.75×",0.473,0.1699,4256.0,1.4134,,,PRE_MARKET,VALIDATED,True,UP,V3 pool outperforms random. V3 score rank NOT predictive (spearman=-0.013)
V3_RETRO_001,V3_20DN_pool,Does V3 pool contain DOWN movers?,YES — ge2 lift=1.29×,0.5124,0.148,4258.0,1.2916,,,PRE_MARKET,VALIDATED,True,DOWN,V3 pool outperforms random. V3 score rank marginally predictive (spearman=0.024)
POST_OPEN_SELECTION_001,A_V3_Top5_UP,Does V3 score select best 5 UP?,MARGINAL — dir_acc=0.509 vs random 0.485,0.5094,0.2264,265.0,1.3274,0.0,0.0,PRE_MARKET,PARTIALLY_VALIDATED,True,UP,V3 score rank baseline for UP
POST_OPEN_SELECTION_001,A_V3_Top5_DOWN,Does V3 score select best 5 DOWN?,MARGINAL — dir_acc=0.487 vs random 0.482,0.4868,0.1811,265.0,1.2531,0.0,0.0,PRE_MARKET,PARTIALLY_VALIDATED,True,DOWN,V3 score rank baseline for DOWN
POST_OPEN_SELECTION_001,C1_Top5_UP,Does opening gap direction improve UP selection?,"YES — dir_acc=0.547, ge2=0.242 (+3.8pp, +1.5pp over V3)",0.5472,0.2415,265.0,1.5171,0.0378,0.0151,POST_OPEN,VALIDATED,True,UP,Gap direction (binary) adds value; requires T+1 open price
POST_OPEN_SELECTION_001,C1_Top5_DOWN,Does opening gap direction improve DOWN selection?,"YES — dir_acc=0.543, ge2=0.234 (+5.7pp, +5.3pp over V3)",0.5434,0.234,265.0,1.6542,0.0566,0.0529,POST_OPEN,VALIDATED,True,DOWN,Gap direction binary strong for DOWN
POST_OPEN_SELECTION_001,C2_Top5_UP,Does gap magnitude improve UP selection beyond direction?,"STRONG — dir_acc=0.615 (+6.8pp over C1, +10.6pp over V3)",0.6151,0.2906,265.0,1.7149,0.1057,0.0642,POST_OPEN,VALIDATED,True,UP,"WINNER for UP. C2 = signed gap magnitude. OOS n=265, 53 days"
POST_OPEN_SELECTION_001,C2_Top5_DOWN,Does gap magnitude improve DOWN selection?,"STRONG — dir_acc=0.604 (+6.0pp over C1, +11.7pp over V3)",0.6038,0.2415,265.0,1.746,0.117,0.0604,POST_OPEN,VALIDATED,True,DOWN,WINNER for DOWN too. Same C2 formula works symmetrically
V3_KNOWLEDGE_2ND_PASS_001,Know_Top5_UP,Does pre-market knowledge composite (DNA+sector) improve UP selection?,HARMFUL — -5.7pp vs V3 baseline; spearman=-0.003,,,,,-0.0566,,PRE_MARKET,NO_INCREMENTAL_VALUE,True,UP,Verdict C: NO_INCREMENTAL_VALUE. Pre-market DNA/sector signals hurt UP selection
V3_KNOWLEDGE_2ND_PASS_001,Know_Top5_DOWN,Does pre-market knowledge composite improve DOWN selection?,MARGINAL — spearman=-0.006; dir_improve vs rand: -3.2pp,,,,,-0.0106,0.0008,PRE_MARKET,NO_INCREMENTAL_VALUE,True,DOWN,No incremental value from pre-market knowledge composite
